amedas_id,amedas_subid,,fuken_id,type,f_pre,f_tem,f_wsd,f_sun,f_snc,station_name,station_name_kana,location,,,longitude,,,latitude,height,height_wsd,height_tem,,obs_started_pre,obs_started_others,note1,note2,supervisor,station_id,old_station_id
12386,0,上川,12,四,Y,Y,Y,Y,N,江丹別,エタンベツ,旭川市江丹別町芳野,43,52.2,43.8700,142,15.6,142.2600,140,10,3.2,昭52.10.11,1977/10/11,1977/10/11,,,旭川地方気象台,1191,
12396,0,上川,12,四,Y,Y,Y,Y,N,比布,ピップ,上川郡比布町北町,43,52.5,43.8750,142,28.8,142.4800,175,10,2.5,(昭50.5.27)昭52.10.11,1975/05/27,1977/10/11,,,旭川地方気象台,1048,
12411,0,上川,12,四,Y,Y,Y,Y,N,上川,カミカワ,上川郡上川町栄町,43,50.8,43.8467,142,45.2,142.7533,324,10,2.4,#昭52.10.12,1974/11/01,1977/10/12,12920,,旭川地方気象台,15,
12442,0,上川,12,官,Y,Y,Y,Y,N,旭川,アサヒカワ,旭川市宮前通東　旭川地方気象台,43,45.4,43.7567,142,22.3,142.3717,120,46.4,,平16.9.9,2004/09/09,2004/09/09,12927,,旭川地方気象台,47407,
12451,0,上川,12,四,Y,Y,Y,Y,N,東川,ヒガシカワ,上川郡東川町北町,43,42.1,43.7017,142,30.5,142.5083,215,10,2.2,昭52.10.5,1977/10/05,1977/10/05,,,旭川地方気象台,1184,
12457,0,上川,12,雨,Y,N,N,N,N,瑞穂,ミズホ,旭川市東旭川町瑞穂,43,44.2,43.7367,142,38.3,142.6383,289,,,昭59.10.8,1984/10/08,1984/10/08,,,旭川地方気象台,17,
12471,0,上川,12,雨,Y,N,N,N,N,層雲峡,ソウウンキョウ,上川郡上川町層雲峡高山,43,45.2,43.7533,142,55.8,142.9300,540,,,昭50.5.27,1975/05/27,1975/05/27,12930,,旭川地方気象台,1049,
12501,0,上川,12,官,Y,Y,Y,N,N,東神楽,ヒガシカグラ,上川郡東神楽町東2線　旭川空港出張所,43,40.2,43.6700,142,26.8,142.4467,211,9.4,,平18.3.16,2006/03/16,2006/03/16,12932,日照を除く,旭川地方気象台,1458,
12512,0,上川,12,四,Y,Y,Y,Y,N,志比内,シビナイ,上川郡東神楽町志比内,43,38.6,43.6433,142,34.9,142.5817,310,10,2.7,平4.10.9,1992/10/09,1992/10/09,,,旭川地方気象台,1185,
12551,0,上川,12,四,Y,Y,Y,Y,N,美瑛,ビエイ,上川郡美瑛町原野5線,43,35.3,43.5883,142,29.6,142.4933,250,10,2.3,(昭50.5.28)昭52.10.6,1975/05/28,1977/10/06,12935,,旭川地方気象台,1052,
12596,0,上川,12,四,Y,Y,Y,Y,N,上富良野,カミフラノ,空知郡上富良野町大町,43,27.3,43.4550,142,27.9,142.4650,220,10,2.1,昭52.10.8,1977/10/08,1977/10/08,,,旭川地方気象台,1190,
12607,0,上川,12,雨,Y,N,N,N,N,白金,シロガネ,上川郡美瑛町白金,43,28.5,43.4750,142,38.9,142.6483,650,,,昭59.10.8,1984/10/08,1984/10/08,,,旭川地方気象台,20,
12626,0,上川,12,四,Y,Y,Y,Y,N,富良野,フラノ,富良野市東町,43,20,43.3333,142,24,142.4000,174,9.4,2.2,#昭51.4.1,1974/11/01,1976/04/01,12940,,旭川地方気象台,21,
12632,0,上川,12,四,Y,Y,Y,Y,N,麓郷,ロクゴウ,富良野市麓郷市街地,43,18.1,43.3017,142,31.3,142.5217,315,10,2.3,昭53.10.25,1978/10/25,1978/10/25,,,旭川地方気象台,1280,
12686,0,上川,12,雨,Y,N,N,N,N,金山,カナヤマ,空知郡南富良野町金山地先,43,8.3,43.1383,142,25,142.4167,284,,,平17.11.17,2005/11/17,2005/11/17,,,旭川地方気象台,1574,
12691,0,上川,12,四,Y,Y,Y,Y,N,幾寅,イクトラ,空知郡南富良野町幾寅,43,10.1,43.1683,142,34.1,142.5683,350,9.4,2.2,昭52.10.7,1977/10/07,1977/10/07,12945,,旭川地方気象台,1188,
12746,0,上川,12,四,Y,Y,Y,Y,N,占冠,シムカップ,勇払郡占冠村シムカップ,42,58.7,42.9783,142,23.7,142.3950,332,10,2.3,昭52.10.7,1977/10/07,1977/10/07,12950,,旭川地方気象台,1189,
15041,0,上川,12,四,Y,Y,Y,Y,N,朱鞠内,シュマリナイ,雨竜郡幌加内町朱鞠内,44,16.9,44.2817,142,9.7,142.1617,255,10,4,昭53.10.24,1978/10/24,1978/10/24,15900,,旭川地方気象台,1279,
15076,0,上川,12,四,Y,Y,Y,Y,N,幌加内,ホロカナイ,雨竜郡幌加内町幌加内,44,0.6,44.0100,142,9.6,142.1600,159,9.4,4,(昭50.5.28)昭52.10.28,1975/05/28,1977/10/28,15905,,旭川地方気象台,1053,
13061,0,留萌,13,四,Y,Y,Y,Y,N,天塩,テシオ,天塩郡天塩町川口,44,53.6,44.8933,141,45.7,141.7617,9,10,2.3,#昭52.10.26,1974/11/01,1977/10/26,13900,,旭川地方気象台,24,
